From Bank,Account,To Bank,Account.1,Amount Paid
3814,8006AD080,3814,8006AD080,12.32
11,8000ECA90,11,8000ECA90,22.97
1120,8006AA910,243166,81470DCF0,43.53
1217,8006AD4E0,1217,8006AD4E0,5.04
224,8006AD580,23319,80567ED00,9.28
3618,800929EA0,1277,800929EF0,0.05
1217,80092A780,11,80132E8A0,21.96
394,80092B090,8801,80690A9C0,6.6
1639,80092C5F0,3653,810135120,38.45
1277,80093C800,219975,8034B3870,34.67
1110,80093CC60,122459,80AE66170,11.37
12,80093CD00,27234,80AE71680,6.84
21414,80093CED0,29264,81013D0A0,0.78
11222,80093DA30,117916,81013A5C0,9.53
11222,800B63A50,11,80132E8A0,41.01
20,800B63DE0,219975,8034B3870,1.82
1422,800B69DB0,110856,80DFEBEE0,27.07
20,800B6A1B0,122459,80AE66170,41.85
1889,8009EB590,2545,81013ED10,19.2
1277,800B999B0,1277,800B999B0,10.48
32042,800BA0F40,1439,800BBF6C0,0.01
1291,800B9BC30,1291,800B9BC30,3.46
1422,800B9BC80,261455,817C3BC30,28.47
1394,800BA0980,219368,81B5F74D0,0.58
12,800BA4BE0,12,800BA4BE0,14.7
12063,800BA4D20,12063,800BA4D20,15.27
394,800BA4EF0,23747,810190500,43.81
11222,800BBE6F0,261455,817C3BC30,48.58
1439,800BBF4A0,1439,800BBF4A0,8.13
1439,800BBF6C0,1439,800BBF6C0,11.98
224,800BC0ED0,259461,81A99A780,9.22
1120,800BC4DC0,37146,80FE04360,0.36
32081,800BC6D10,1439,800BDF9C0,41.11
349,800BC6E90,21566,816C60240,40.84
11047,800BC8430,28625,80362AF40,12.19
1277,800BC93F0,1277,800BC93F0,3.81
1120,800BCE950,21566,816C60240,38.74
1439,800BCF200,5855,80A88ABA0,4.12
11265,800BD0DD0,11265,800BD0DD0,14.29
1889,800BDCE50,20,800BF1EB0,6.58
1120,800BDD510,1277,800AC3D20,33.81
11701,800BDDA30,21566,816C60240,31.86
1277,800BE1290,1277,800BE1290,6.3
1422,800BE1960,117301,806DCACA0,35.53
1277,800BE94E0,1277,800BE94E0,5.31
1638,800C2D5F0,217862,8129D2D20,40.98
394,800C2D860,394,800C2D860,19.84
1439,800E3E300,22124,8171A08F0,18.28
21939,800E3E3F0,21939,800E3E3F0,5.38
224,800E3E8A0,224,800E3E8A0,5.04
11046,800F6BC70,11046,800F6BC70,3.54
12204,800F6CC70,214000,808BC76C0,4.92
12204,800F6DA10,43863,8171A0850,2.13
31587,8014C4D90,31587,8014C4D90,36.56
531,800F6F960,531,800F6F960,20.15
2545,800F704A0,15786,8131C2670,49.1
12592,800F71C50,12592,800F71C50,14.72
1638,800F738F0,1638,800F738F0,18.19
1291,800F73990,22224,812BE7D00,6.1
11770,800F74340,241912,810D61250,32.91
12592,800F74B80,11968,80CB23DC0,4.72
22364,800F75220,114721,8118E7B00,11.13
22481,800F75A50,22481,800F75A50,18.79
13354,8013E3D20,151250,8131C2620,17.57
394,8014C5960,8801,80CDF0700,42.64
13474,8014CF900,56335,81A89E7B0,16.48
13354,8014D0C40,13354,8014D0C40,8.09
11,8014D2420,11,8014D2420,23.15
12063,8014D7070,28958,806B44A40,6.28
22129,8014D7290,22129,8014D7290,12.18
1439,801533E70,1439,801533E70,14.24
1217,801565CA0,3500,8072E32C0,31.28
2196,80160DD80,234933,80CF296D0,19.09
1,800056ED0,1,800056ED0,21.08
12,800057E30,12,800057E30,8.77
20,8000581F0,20,8000581F0,23.0
1,80005A0E0,1,80005A0E0,15.33
224,80005A930,224,80005A930,18.84
20,80005B040,20,80005B040,15.81
20,80005CDA0,20,80005CDA0,9.58
12,80005D160,12,80005D160,11.41
20,80005DD70,20,80005DD70,14.62
20,80005F910,20,80005F910,22.22
11,8000ED820,11,8000ED820,17.83
20,8000EE770,20,8000EE770,11.08
20,8000F8990,139833,812116FE0,32.7
20,8000F8CD0,20,8000F8CD0,10.79
12,8000FB2E0,12,8000FB2E0,15.57
224,8000FBE20,224,8000FBE20,10.5
224,8000FC430,224,8000FC430,18.54
1217,8000FE820,24778,80D9BAC30,28.41
11,800100E20,20,8003E2560,46.23
20,8000FBC30,20,8000FBC30,5.1
224,800103B80,224,800103B80,20.82
20,800106490,20,800106490,21.21
224,8001034E0,224,8001034E0,20.56
1217,800107560,1217,800107560,14.51
1231,800108370,1231,800108370,22.69
12,800106DA0,12,800106DA0,14.04
12,8001093C0,12,8001093C0,16.44
1217,80010AC70,1217,80010AC70,3.77
20,80010BC80,20,80010BC80,15.38
20,80005B040,1231,80010C4C0,39.02
20,80005B040,1231,80010C4C0,0.18
12,80010CF90,12,80010CF90,5.43
20,80010E3D0,20,80010E3D0,21.98
1217,80010FDD0,1217,80010FDD0,9.09
1,8000F8F10,1,8000F8F10,23.37
1,800112F90,1,800112F90,13.16
12,800115B90,12,800115B90,19.24
11,800116A30,11,800116A30,16.6
20,800117B80,20,800117B80,19.41
12,800110830,12,800110830,4.44
20,800110E80,20,800110E80,6.37
1217,800113DE0,1217,800113DE0,15.91
12,80011BF30,12,80011BF30,3.22
12,80011DA50,12,80011DA50,12.32
12,80011C720,12,80011C720,14.21
224,80011CAD0,224,80011CAD0,15.67
1217,800119C70,1217,800119C70,7.17
11,800121C30,11,800121C30,6.51
20,800122DB0,20,800122DB0,22.28
12,800127AE0,12,800127AE0,4.02
12,800129FA0,12,800129FA0,24.95
1231,800129C90,1231,800129C90,19.28
20,80012A210,20,80012A210,22.45
1231,80012B050,1231,80012B050,12.09
3200,800129750,20,80012AC30,46.61
11,80012F3F0,11,80012F3F0,14.0
224,800130160,224,800130160,9.74
224,800131280,224,800131280,8.3
1231,80012FD10,1231,80012FD10,23.01
224,800132640,11770,8095CEF90,15.99
12,800125460,12,800125460,8.61
11,80012D6D0,11,80012D6D0,15.98
1231,80012DBC0,1231,80012DBC0,10.58
12,80012F630,12,80012F630,4.86
20,80012F900,20,80012F900,11.19
12,8001330E0,11222,815805430,12.59
11,8001348B0,11,8001348B0,18.15
11,800135A60,11,800135A60,24.67
1217,800135E70,1217,800135E70,16.88
1231,8001398D0,1231,8001398D0,18.0
20,80013A140,20,80013A140,23.12
3200,80013D390,3200,80013D390,28.73
224,80013CDE0,8801,8075380F0,33.08
1,8001414A0,219368,80745B140,5.53
11,8001414F0,11,8001414F0,24.01
20,800142060,20,800142060,20.03
3202,800141060,20,800140950,0.01
20,800140950,20,800140950,22.13
12,8001409F0,12,8001409F0,16.61
1231,800141DD0,1231,800141DD0,21.26
12,800143570,12,800143570,16.42
1,800144370,1,800144370,17.1
12,800146870,12,800146870,19.6
1217,8001475E0,1217,8001475E0,6.19
12,80013B960,12,80013B960,18.84
11,80013C4D0,137268,810FF9E50,42.13
20,80013EFE0,20,80013EFE0,5.73
1217,80013F4E0,1217,80013F4E0,12.32
1231,800146220,1231,800146220,8.82
11,80014BEE0,11,80014BEE0,16.27
20,80014CCC0,20,80014CCC0,8.82
20,80014EC60,20,80014EC60,21.88
11,800151650,11,800151650,20.31
1217,800151B40,1217,800151B40,17.37
20,80014F060,20,80014F060,18.78
1217,80014FBB0,1217,80014FBB0,7.13
224,800154370,224,800154370,24.5
20,80013A8F0,20,80013A8F0,18.01
20,80013AD80,226624,80ADDEA90,5.35
