Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering,Amount
2022/09/01 00:29,3618,800929EA0,1277,800929EF0,0.05,US Dollar,0.05,US Dollar,ACH,0,0.05
2022/09/01 00:05,20,80005B040,1231,80010C4C0,0.18,US Dollar,0.18,US Dollar,ACH,0,0.18
2022/09/01 00:13,3440,8002F0EB0,1291,8002EE260,0.08,US Dollar,0.08,US Dollar,ACH,0,0.08
2022/09/01 00:01,3648,8003DCD50,224,8003E0200,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:17,3612,8003EE310,1394,8003EDDC0,0.12,US Dollar,0.12,US Dollar,ACH,0,0.12
2022/09/01 00:07,3888,800552880,1231,800540CA0,0.14,US Dollar,0.14,US Dollar,ACH,0,0.14
2022/09/01 00:03,1422,8005D40C0,1291,800670D30,0.16,US Dollar,0.16,US Dollar,Wire,0,0.16
2022/09/01 00:20,3806,800659FF0,11,800656CB0,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:11,3705,800857930,21260,800849070,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:27,31509,800908A40,1277,8008F9F50,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:18,3705,800A5A070,20,800A0C5E0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:03,3394,800AB7450,1394,800AB5C00,0.04,US Dollar,0.04,US Dollar,ACH,0,0.04
2022/09/01 00:05,31960,800B3EF50,11968,800B374F0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:08,32110,800C4C0F0,2860,800C4C0A0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:18,3560,800C5DC30,21393,800C5CC00,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:05,32207,800C70420,224,800C76380,0.04,US Dollar,0.04,US Dollar,ACH,0,0.04
2022/09/01 00:11,31960,800D19380,1807,800D19330,0.03,US Dollar,0.03,US Dollar,ACH,0,0.03
2022/09/01 00:18,32407,800D90800,349,800D907B0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:29,31510,800EBF7D0,1277,800EBF780,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:18,3844,800F4DED0,22185,800F4DE80,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:03,31472,8010D6FD0,21939,8010D6D10,0.03,US Dollar,0.03,US Dollar,ACH,0,0.03
2022/09/01 00:26,31699,8010FC780,22435,8010FE740,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:22,32968,80111A6F0,21566,80111A000,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:25,32944,80124CB10,1394,80124C380,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:21,3920,80142BB40,2860,80142C160,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:05,3648,80145F220,12063,801462B00,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:14,31022,80177DF30,22595,80177DE90,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:00,22129,801234270,2860,8018BFFF0,0.03,US Dollar,0.03,US Dollar,ACH,0,0.03
2022/09/01 00:22,22129,801234270,2860,8018BFFF0,0.05,US Dollar,0.05,US Dollar,Wire,0,0.05
2022/09/01 00:08,34308,80191D700,11495,801919BF0,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:10,34872,801C00480,349,801C01550,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:06,23571,801E12F40,23571,801E12F40,0.05,Euro,0.06,US Dollar,ACH,0,0.06
2022/09/01 00:10,35716,8020EFD90,11968,8020F00F0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:13,22124,8023143D0,22124,8023143D0,1.44,Yuan,0.21,US Dollar,ACH,0,0.21
2022/09/01 00:13,33355,802324200,22031,8023241B0,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:11,35811,8023519F0,5687,802334470,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:12,32144,8023B9E80,4187,8023B99B0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:25,3412,80291FD70,5617,80291EEE0,0.03,US Dollar,0.03,US Dollar,ACH,0,0.03
2022/09/01 00:26,34314,802964820,13474,8029648C0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:17,31880,802B79A80,24950,802B79A30,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:11,32766,802D87C20,6809,802D6AE10,0.05,US Dollar,0.05,US Dollar,ACH,0,0.05
2022/09/01 00:16,31509,80324A030,13474,803249FE0,0.54,US Dollar,0.54,US Dollar,ACH,0,0.54
2022/09/01 00:07,36866,803799BB0,3653,803799B10,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:04,3923,80383D480,22547,803836C50,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:12,39746,803AA55F0,24523,803AA44E0,0.04,US Dollar,0.04,US Dollar,ACH,0,0.04
2022/09/01 00:03,36209,803C21E60,11770,803C23870,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:18,33374,804070C10,28958,8040704C0,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:04,35716,8047C3FA0,14408,8047C3160,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:15,37539,8047FCAC0,22435,8047FA820,0.41,US Dollar,0.41,US Dollar,ACH,0,0.41
2022/09/01 00:12,32712,804AE39A0,23410,804AE6680,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:29,34036,805329CC0,22547,805329C70,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:22,311684,8054A74B0,8106,80549BD40,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:17,310254,805667AD0,28932,805667DA0,0.03,US Dollar,0.03,US Dollar,ACH,0,0.03
2022/09/01 00:16,310467,805678250,11337,805686CE0,0.02,US Dollar,0.02,US Dollar,ACH,0,0.02
2022/09/01 00:10,32217,8056AFC70,214527,805690200,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
2022/09/01 00:11,32758,805B1F730,11,805B27460,0.01,US Dollar,0.01,US Dollar,ACH,0,0.01
